operation,type,manufacturer,engine_type,engines,year_manufacturing,seating,fatalities
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1962.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1980.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,TWIN COMMANDER,PISTÃO,BIMOTOR,1961.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,TWIN COMMANDER,PISTÃO,BIMOTOR,1961.0,7.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1960.0,2.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1960.0,2.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1960.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1989.0,34.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1989.0,34.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1987.0,144.0,0
ÓRGÃO PÚBLICO,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,1983.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1979.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1975.0,117.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1975.0,117.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1987.0,140.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1987.0,140.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1989.0,6.0,0
ÓRGÃO PÚBLICO,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,1983.0,6.0,0
ÓRGÃO PÚBLICO,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,1983.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1982.0,7.0,0
AEROCLUBE,AVIÃO,XAVANTE,PISTÃO,MONOMOTOR,1978.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1978.0,8.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1978.0,8.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,3.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1976.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1976.0,10.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1977.0,6.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1979.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1974.0,5.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,BIMOTOR,1981.0,15.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,BIMOTOR,1981.0,15.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1986.0,3.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1980.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1980.0,10.0,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1973.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1990.0,144.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1990.0,144.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1980.0,20.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1980.0,20.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,0.0,151.0,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,0.0,151.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1990.0,3.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1982.0,6.0,0
AEROCLUBE,AVIÃO,CIA AERONAUTICA PAULISTA,PISTÃO,MONOMOTOR,1948.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1986.0,10.0,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1981.0,8.0,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1981.0,8.0,0
AEROCLUBE,AVIÃO,CIA AERONAUTICA PAULISTA,PISTÃO,MONOMOTOR,1947.0,2.0,0
AEROCLUBE,AVIÃO,CIA AERONAUTICA PAULISTA,PISTÃO,MONOMOTOR,1947.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1984.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1984.0,7.0,0
ÓRGÃO PÚBLICO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1982.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1978.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1978.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1978.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1978.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1978.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1978.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1978.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1978.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1979.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1979.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1979.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,BIMOTOR,1974.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1974.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1989.0,34.0,0
ÓRGÃO PÚBLICO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1980.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1982.0,7.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1963.0,2.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1963.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1991.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1991.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1991.0,3.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1964.0,4.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1978.0,6.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1978.0,6.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1978.0,6.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1978.0,6.0,0
AEROCLUBE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1973.0,4.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,1982.0,14.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,1982.0,14.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1988.0,9.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1978.0,10.0,0
AEROCLUBE,AVIÃO,CIA AERONAUTICA PAULISTA,PISTÃO,MONOMOTOR,1940.0,2.0,0
AEROCLUBE,AVIÃO,CIA AERONAUTICA PAULISTA,PISTÃO,MONOMOTOR,1940.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1991.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1991.0,6.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1962.0,2.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1962.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1990.0,20.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1990.0,20.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1990.0,20.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1990.0,20.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1977.0,3.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1977.0,20.0,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1970.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1977.0,6.0,0
AEROCLUBE,AVIÃO,XAVANTE,PISTÃO,MONOMOTOR,1978.0,2.0,0
AEROCLUBE,AVIÃO,XAVANTE,PISTÃO,MONOMOTOR,1978.0,2.0,0
AEROCLUBE,AVIÃO,XAVANTE,PISTÃO,MONOMOTOR,1978.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
ESCOLA DE AVIAÇÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1990.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1977.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1977.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1977.0,7.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,3.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1950.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,3.0,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973.0,4.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,MAULE AIRCRAFT,PISTÃO,MONOMOTOR,1991.0,5.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977.0,7.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1962.0,2.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1962.0,2.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1962.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1988.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1988.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1988.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1982.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1979.0,7.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993.0,3.0,0
AEROCLUBE,AVIÃO,XAVANTE,PISTÃO,MONOMOTOR,1976.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1981.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1981.0,6.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1990.0,3.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1975.0,2.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1975.0,2.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1975.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,3.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1982.0,4.0,0
AEROCLUBE,AVIÃO,BELLANCA AIRCRAFT,PISTÃO,MONOMOTOR,1980.0,2.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,BIMOTOR,1987.0,15.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1980.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1976.0,7.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993.0,3.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
ÓRGÃO PÚBLICO,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1991.0,3.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOEIXO,BIMOTOR,2011.0,113.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOEIXO,BIMOTOR,2011.0,113.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1978.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1981.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1981.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,TURBOÉLICE,BIMOTOR,1990.0,8.0,0
AEROCLUBE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1973.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1991.0,20.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1991.0,20.0,0
ÓRGÃO PÚBLICO,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1978.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1978.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1981.0,6.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1990.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1990.0,2.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,BIMOTOR,1980.0,15.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,BIMOTOR,1980.0,15.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,BIMOTOR,1992.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,BIMOTOR,1992.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1990.0,11.0,0
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,BIMOTOR,1980.0,15.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1982.0,6.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1988.0,2.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1981.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1977.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1977.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1977.0,10.0,0
OPERADOR PARTICULAR,AVIÃO,TWIN COMMANDER,PISTÃO,BIMOTOR,1971.0,7.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1988.0,6.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1988.0,6.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1988.0,6.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1988.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1976.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,JATO,BIMOTOR,1991.0,11.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,JATO,BIMOTOR,1991.0,11.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1982.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1995.0,6.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1983.0,4.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1989.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1989.0,7.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1989.0,7.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,3.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1969.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1985.0,7.0,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1974.0,1.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1987.0,6.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1976.0,7.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1990.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993.0,2.0,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1973.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1993.0,11.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1991.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1979.0,7.0,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1988.0,4.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1978.0,6.0,0
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1969.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1969.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1969.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1969.0,4.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,BIMOTOR,1973.0,8.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1990.0,3.0,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1981.0,10.0,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1951.0,1.0,0
AEROCLUBE,AVIÃO,XAVANTE,PISTÃO,MONOMOTOR,1971.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992.0,2.0,0
ESCOLA DE AVIAÇÃO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1987.0,6.0,0
ESCOLA DE AVIAÇÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1994.0,2.0,0
ESCOLA DE AVIAÇÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1994.0,2.0,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1981.0,10.0,0
OPERADOR PARTICULAR,AVIÃO,LEARJET,JATO,BIMOTOR,1981.0,10.0,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1977.0,7.0,0
